小说课,"
        
  
  毕飞宇 / 人民文学出版社 / 2017-2 / 38.00

      ",8.6
献给阿尔吉侬的花束,"
        
  
  [美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元

      ",9.0
海边的卡夫卡,"
        
  
  [日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元

      ",8.1
雪人,"
        
  
  [挪威] 尤·奈斯博 / 林立仁 / 湖南文艺出版社 / 2016-4 / 39.00元

      ",8.1
最初的爱情最后的仪式,"
        
  
  [英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元

      ",8.0
一九八四·动物农场,"
        
  
  [英] 乔治·奥威尔 / 董乐山、傅惟慈 / 上海译文出版社 / 2003-4 / 23.00元

      ",9.3
情书,"
        
  
  [日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元

      ",8.6
火花,"
        
  
  [日] 又吉直树 / 毛丹青 / 人民文学出版社 / 2017-6 / 38.00

      ",7.8
美国众神,"
        
  
  [英] 尼尔·盖曼 / 戚林 / 四川科学技术出版社 / 2006-12 / 36.00元

      ",8.0
孽子:孽子,"
        
  
  白先勇 / 花城出版社 / 2000-4-1 / 21.80元

      ",8.8
荆棘鸟,"
        
  
  [澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元

      ",8.6
道连·葛雷的画像,"
        
  
  [英] 奥斯卡·王尔德 / 荣如德 / 上海译文出版社 / 2006-8 / 12.00元

      ",8.9
冰与火之歌（卷一）:权力的游戏,"
        
  
  [美] 乔治·R. R. 马丁 / 谭光磊、屈畅 / 重庆出版社 / 2005-5 / 68.00元

      ",9.3
德米安:埃米尔·辛克莱的彷徨少年时,"
        
  
  [德] 赫尔曼·黑塞 / 丁君君、谢莹莹 / 上海人民出版社 / 2009-3 / 25.00元

      ",9.0
芳华,"
        
  
  严歌苓 / 人民文学出版社 / 2017-4 / 39.00元

      ",8.1
焚舟纪,"
        
  
  [英] 安吉拉·卡特 / 严韵 / 南京大学出版社 / 2012-3-29 / 100.00元

      ",8.5
追忆似水年华（上下册）,"
        
  
  [法国] 马塞尔·普鲁斯特 / 李恒基、徐继增、桂裕芳、袁树仁、潘丽珍、许渊冲 / 译林出版社 / 2001-4 / 68.00元

      ",9.1
漫长的中场休息,"
        
  
  [美] 本·方登 / 张晓意 / 南海出版公司 / 2016-11-1 / 45.00元

      ",8.1
受戒:汪曾祺自选集,"
        
  
  汪曾祺 / 漓江出版社 / 1987-10 / 3.95元

      ",9.2
半生缘,"
        
  
  张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元

      ",8.6
螺旋之谜,"
        
  
  [西班牙] 圣地亚哥·帕哈雷斯 / 叶淑吟 / 理想国 | 广西师范大学出版社 / 2017-6-1 / 46.00

      ",8.0
香水:一个谋杀犯的故事,"
        
  
  [德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元

      ",8.5
红楼梦,"
        
  
  [清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元

      ",9.6
火星救援,"
        
  
  [美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10-1 / 38.00

      ",8.9
红玫瑰与白玫瑰,"
        
  
  张爱玲 / 花城出版社 / 1996-06 / 12.80元

      ",8.4
阿城精选集,"
        
  
  阿城 / 北京燕山出版社 / 2011-3 / 25.00元

      ",9.1
夜色人生,"
        
  
  [美] 丹尼斯·勒翰 / 尤传莉 / 江苏凤凰文艺出版社 / 2016-10-15 / 49.90元

      ",8.3
项塔兰,"
        
  
  [澳] 格里高利·大卫·罗伯兹 / 黄中宪 / 华文出版社 / 2009-4 / 58.00

      ",9.0
人间失格,"
        
  
  太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元

      ",8.3
教父,"
        
  
  [美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元

      ",9.0
使女的故事,"
        
  
  [加拿大] 玛格丽特·阿特伍德 / 陈小慰 / 上海译文出版社 / 2017-12 / 49.00元

      ",8.3
生死桥,"
        
  
  李碧华 / 新世界出版社 / 2006-1-1 / 23.0

      ",8.2
